Var_1,Var_2,Var_3,Var_4,Var_5_Class_1,Var_5_Class_2,Var_5_Class_3,Var_5_Class_4,Var_5_Class_5,Var_5_Class_6,Var_5_Class_7,Var_5_Class_8,Var_6_Class_1,Var_6_Class_2,Var_6_Class_3,Var_6_Class_4,Var_6_Class_5,Var_6_Class_6,Var_6_Class_7,Var_6_Class_8,Var_6_Class_9,Var_6_Class_10,Var_6_Class_11,Var_6_Class_12,Var_7,Var_8,Var_9,Var_10,Var_11,Var_12,Var_13,Input_Data_Set_3
15,2.467213115,6,5.961554009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,48.6452683,15.18330444,6,0.0
15,1.640710383,7,6.859289617,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,48.6452683,15.18330444,6,0.0
14,1.034153005,16,7.465846995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7,1,0,15.13377057,16.39518222,2,0.0
17,2.818306011,3,5.358406318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,48.6452683,15.18330444,6,0.0
23,1.239071038,11,7.260928962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,24.98962623,28.68113407,2,0.0
20,1.591530055,17,6.908469945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38.66868736,44.13776778,4,0.0
24,1.740437158,9,6.759562842,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,92.35642679,60.2751737,8,0.0
24,1.897540984,11,6.602459016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,-4.314158302,28.19704852,9,0.0
21,4.136612022,65,3.267497567,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-4.314158302,28.19704852,8,0.0
20,3.105191257,2,4.529055319,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92.35642679,60.2751737,7,0.0
20,2.222677596,32,6.277322404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,92.35642679,60.2751737,7,0.0
20,1.803278689,32,6.696721311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,38.66868736,44.13776778,4,0.0
12,3.900273224,8,2.906576091,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.6452683,15.18330444,7,0.0
20,1.620218579,76,6.879781421,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,58.22886566,61.64409704,4,0.0
27,4.330601093,7,4.169398907,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.98962623,28.68113407,3,0.0
20,1.591530055,17,6.908469945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38.66868736,44.13776778,4,0.0
3,2.911202186,0,5.588797814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,48.6452683,15.18330444,6,0.0
20,1.967213115,22,6.532786885,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,38.66868736,44.13776778,5,0.0
13,2.949453552,30,5.550546448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,-2.87319434,27.22663481,5,0.0
7,4.274590164,16,4.225409836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,24.98962623,28.68113407,2,0.0
